Ex max (nm),Em max (nm),Stokes Shift (nm),Extinction Coefficient,Quantum Yield,Brightness
450.0,499.0,49.0,16200.0,0.32,5.18
508.0,518.0,10.0,26700.0,0.19,5.07
600.0,630.0,30.0,55400.0,0.09,4.99
678.0,702.0,24.0,77027.0,0.061,4.7
504.0,516.0,12.0,28700.0,0.16,4.59
460.0,605.0,145.0,26000.0,0.17,4.42
701.0,719.0,18.0,92991.0,0.047,4.37
683.0,709.0,26.0,78400.0,0.054,4.23
605.0,670.0,65.0,70000.0,0.06,4.2
540.0,553.0,13.0,6000.0,0.7,4.2
460.0,528.0,68.0,11662.0,0.356,4.15
384.0,450.0,66.0,16500.0,0.25,4.12
611.0,658.0,47.0,41200.0,0.1,4.12
590.0,649.0,59.0,41000.0,0.1,4.1
509.0,518.0,9.0,26900.0,0.15,4.04
558.0,587.0,29.0,27300.0,0.14,3.82
384.0,450.0,66.0,15600.0,0.24,3.74
515.0,525.0,10.0,74400.0,0.05,3.72
598.0,675.0,77.0,46000.0,0.08,3.68
598.0,631.0,33.0,61000.0,0.06,3.66
595.0,655.0,60.0,90000.0,0.04,3.6
355.0,424.0,69.0,15000.0,0.24,3.6
452.0,502.0,50.0,15800.0,0.22,3.48
518.0,530.0,12.0,114000.0,0.03,3.42
611.0,657.0,46.0,34000.0,0.1,3.4
463.0,506.0,43.0,23900.0,0.14,3.35
463.0,506.0,43.0,23900.0,0.14,3.35
697.0,720.0,23.0,149200.0,0.022,3.28
440.0,616.0,176.0,14500.0,0.22,3.19
576.0,592.0,16.0,56200.0,0.05,2.81
451.0,501.0,50.0,13500.0,0.2,2.7
519.0,531.0,12.0,130000.0,0.02,2.6
463.0,624.0,161.0,31200.0,0.08,2.5
676.0,706.0,30.0,55600.0,0.043,2.39
440.0,570.0,130.0,14000.0,0.15,2.1
487.0,562.0,75.0,17000.0,0.12,2.04
506.0,524.0,18.0,20000.0,0.1,2.0
508.0,525.0,17.0,55400.0,0.03,1.66
604.0,681.0,77.0,38000.0,0.04,1.52
595.0,625.0,30.0,50000.0,0.03,1.5
578.0,631.0,53.0,36000.0,0.04,1.44
519.0,531.0,12.0,136000.0,0.01,1.36
608.0,646.0,38.0,40000.0,0.03,1.2
604.0,684.0,80.0,39000.0,0.03,1.17
587.0,637.0,50.0,58000.0,0.02,1.16
600.0,630.0,30.0,34400.0,0.03,1.03
605.0,636.0,31.0,33000.0,0.03,0.99
597.0,633.0,36.0,48000.0,0.02,0.96
380.0,446.0,66.0,2300.0,0.4,0.92
600.0,637.0,37.0,43000.0,0.02,0.86
342.0,382.0,40.0,4494.0,0.1139,0.51
382.0,448.0,66.0,2100.0,0.24,0.5
604.0,636.0,32.0,23300.0,0.02,0.47
486.0,510.0,24.0,89000.0,0.005,0.45
375.0,675.0,300.0,21000.0,0.016,0.34
592.0,626.0,34.0,80000.0,0.004,0.32
592.0,645.0,53.0,20000.0,0.015,0.3
506.0,516.0,10.0,98000.0,0.003,0.29
588.0,633.0,45.0,54100.0,0.005,0.27
500.0,516.0,16.0,162000.0,0.0013,0.21
493.0,521.0,28.0,98800.0,0.0015,0.15
572.0,597.0,25.0,120000.0,0.001,0.12
572.0,595.0,23.0,120000.0,0.001,0.12
554.0,514.0,25.0,86000.0,0.001,0.09
528.0,514.0,25.0,94000.0,0.001,0.09
528.0,514.0,25.0,91000.0,0.001,0.09
537.0,514.0,25.0,72000.0,0.001,0.07
553.0,514.0,25.0,72000.0,0.001,0.07
561.0,600.0,39.0,57000.0,0.001,0.06
424.0,461.0,37.0,3000.0,0.02,0.06
586.0,626.0,40.0,64000.0,0.001,0.06
506.0,514.0,25.0,20000.0,0.001,0.02
587.0,514.0,25.0,203400.0,0.0001,0.02
610.0,620.0,10.0,66700.0,0.0001,0.01
603.0,514.0,25.0,56600.0,0.0001,0.01
587.0,514.0,25.0,81500.0,0.0001,0.01
513.0,525.0,12.0,30800.0,0.48,22.79
502.0,512.0,10.0,33000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
484.0,514.0,30.0,65000.0,0.48,22.79
512.0,524.0,12.0,19400.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
397.0,520.0,123.0,65000.0,0.48,22.79
580.0,514.0,25.0,109000.0,0.48,22.79
609.0,514.0,25.0,52000.0,0.48,22.79
587.0,514.0,25.0,59000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
396.0,508.0,112.0,65000.0,0.48,22.79
390.0,505.0,115.0,65000.0,0.48,22.79
567.0,612.0,45.0,65000.0,0.48,22.79
560.0,599.0,39.0,65000.0,0.48,22.79
597.0,514.0,25.0,65000.0,0.48,22.79
580.0,514.0,25.0,132000.0,0.48,22.79
509.0,517.0,8.0,65000.0,0.48,22.79
509.0,517.0,8.0,65000.0,0.48,22.79
494.0,504.0,10.0,65000.0,0.48,22.79
453.0,486.0,33.0,65000.0,0.48,22.79
467.0,495.0,28.0,65000.0,0.08,22.79
483.0,506.0,23.0,65000.0,0.67,22.79
500.0,515.0,15.0,65000.0,0.006,22.79
588.0,514.0,25.0,87600.0,0.48,22.79
580.0,514.0,25.0,65000.0,0.48,22.79
586.0,514.0,25.0,65000.0,0.48,22.79
604.0,514.0,25.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
420.0,484.0,64.0,65000.0,0.48,22.79
477.0,497.0,20.0,65000.0,0.48,22.79
488.0,504.0,16.0,65000.0,0.48,22.79
500.0,512.0,12.0,65000.0,0.48,22.79
558.0,597.0,39.0,65000.0,0.48,22.79
490.0,504.0,14.0,65000.0,0.48,22.79
584.0,514.0,25.0,65000.0,0.48,22.79
420.0,483.0,63.0,65000.0,0.48,22.79
595.0,663.0,68.0,65000.0,0.48,22.79
562.0,595.0,33.0,65000.0,0.48,22.79
480.0,499.0,19.0,65000.0,0.48,22.79
504.0,515.0,11.0,65000.0,0.48,22.79
410.0,454.0,44.0,65000.0,0.48,22.79
456.0,480.0,24.0,65000.0,0.48,22.79
385.0,450.0,65.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
489.0,507.0,18.0,65000.0,0.48,22.79
456.0,480.0,24.0,65000.0,0.48,22.79
500.0,514.0,25.0,65000.0,0.48,22.79
571.0,514.0,25.0,65000.0,0.48,22.79
399.0,496.0,97.0,65000.0,0.48,22.79
503.0,514.0,11.0,65000.0,0.55,22.79
488.0,500.0,12.0,65000.0,0.48,22.79
488.0,508.0,20.0,65000.0,0.48,22.79
